iter	Passed	Remaining
0	1	197
1	3	181
2	5	175
3	6	162
4	8	162
5	10	160
6	12	160
7	14	170
8	16	166
9	18	163
10	19	160
11	21	157
12	23	156
13	25	156
14	29	169
15	32	168
16	33	165
17	35	163
18	37	160
19	40	160
20	42	159
21	47	167
22	50	168
23	52	166
24	54	164
25	57	163
26	62	168
27	64	166
28	69	169
29	70	164
30	71	160
31	73	155
32	76	155
33	77	150
34	79	146
35	80	143
36	81	139
37	82	135
38	84	131
39	85	128
40	86	124
41	87	120
42	88	117
43	90	114
44	91	112
45	93	109
46	94	106
47	95	103
48	97	101
49	98	98
50	99	95
51	100	93
52	101	90
53	104	88
54	105	86
55	106	83
56	107	81
57	108	78
58	110	76
59	111	74
60	112	71
61	113	69
62	114	67
63	116	65
64	119	64
65	120	62
66	122	60
67	123	58
68	124	55
69	125	53
70	127	51
71	128	49
72	129	47
73	130	45
74	132	44
75	134	42
76	135	40
77	137	38
78	138	36
79	139	34
80	140	33
81	142	31
82	143	29
83	144	27
84	145	25
85	148	24
86	149	22
87	151	20
88	152	18
89	153	17
90	154	15
91	156	13
92	157	11
93	158	10
94	159	8
95	160	6
96	166	5
97	169	3
98	171	1
99	174	0
